date,count
2021-05-09,10
2021-05-24,10
2021-11-16,10
2022-07-20,10
2022-08-18,10
2019-08-03,9
2019-08-23,9
2019-08-27,9
2020-01-10,9
2020-02-11,9
2020-02-17,9
2020-06-17,9
2020-06-23,9
2020-08-12,9
2020-08-20,9
2020-08-31,9
2020-09-02,9
2020-09-18,9
2020-09-22,9
2020-09-30,9
2020-10-30,9
2020-11-02,9
2020-11-05,9
2020-12-08,9
2020-12-18,9
2021-02-04,9
2021-06-28,9
2022-01-31,9
2022-06-24,9
2022-08-05,9
2022-11-08,9
2018-10-12,8
2018-10-19,8
2018-10-21,8
2019-09-09,8
2019-09-12,8
2019-11-19,8
2020-02-08,8
2020-02-15,8
2020-03-01,8
2020-03-10,8
2020-05-24,8
2020-11-23,8
2020-12-11,8
2020-12-21,8
2021-02-07,8
2021-02-08,8
2021-03-17,8
2021-04-30,8
2021-05-19,8
2021-05-20,8
2021-05-31,8
2021-06-26,8
2021-07-02,8
2021-10-04,8
2022-05-20,8
2022-06-26,8
2022-10-28,8
2019-07-22,7
2019-07-30,7
2019-09-24,7
2019-11-20,7
2019-11-24,7
2019-12-16,7
2020-01-20,7
2020-02-13,7
2020-02-21,7
2020-02-23,7
2020-03-22,7
2020-04-01,7
2020-08-07,7
2020-09-06,7
2020-09-10,7
2020-10-26,7
2020-11-11,7
2020-11-26,7
2020-12-17,7
2020-12-28,7
2021-01-20,7
2021-02-27,7
2021-03-06,7
2021-03-12,7
2021-04-28,7
2021-05-06,7
2021-05-08,7
2021-05-30,7
2021-07-04,7
2022-05-05,7
2022-05-10,7
2022-05-17,7
2022-06-22,7
2022-07-14,7
2022-07-19,7
2022-07-24,7
2022-08-16,7
2022-09-14,7
2022-10-18,7
2015-04-06,6
2018-10-20,6
2019-07-15,6
2019-07-19,6
2019-08-10,6
2019-09-06,6
2019-10-05,6
2019-12-31,6
2020-01-30,6
2020-02-09,6
2020-03-03,6
2020-03-30,6
2020-04-11,6
2020-06-29,6
2020-07-17,6
2020-07-21,6
2020-07-25,6
2020-08-10,6
2020-08-19,6
2020-10-11,6
2020-12-04,6
2021-01-30,6
2021-02-24,6
2021-03-10,6
2021-04-22,6
2021-04-29,6
2021-07-26,6
2021-10-03,6
2022-05-14,6
2022-05-24,6
2022-06-10,6
2022-06-15,6
2022-07-03,6
2022-07-10,6
2022-07-29,6
2022-08-03,6
2022-08-17,6
2022-08-21,6
2022-08-24,6
2022-09-21,6
2022-10-12,6
2022-10-19,6
2018-10-17,5
2019-07-14,5
2019-09-28,5
2019-10-19,5
2019-11-25,5
2019-12-27,5
2019-12-30,5
2020-01-14,5
2020-02-18,5
2020-02-20,5
2020-04-26,5
2020-05-09,5
2020-06-03,5
2020-06-20,5
2020-06-21,5
2020-07-01,5
2020-07-30,5
2020-07-31,5
2020-08-17,5
2020-08-26,5
2020-09-12,5
2020-10-06,5
2020-10-17,5
2020-10-25,5
2020-11-30,5
2020-12-29,5
2021-01-05,5
2021-02-19,5
2021-02-25,5
2021-03-09,5
2021-03-24,5
2021-03-27,5
2021-03-29,5
2021-03-30,5
2021-05-26,5
2021-05-29,5
2021-06-29,5
2021-07-13,5
2021-07-15,5
2021-11-29,5
2022-04-26,5
2022-05-19,5
2022-06-08,5
2022-06-13,5
2022-06-28,5
2022-07-31,5
2022-09-26,5
2022-10-17,5
2022-10-20,5
2022-10-21,5
2022-10-23,5
2022-10-25,5
2018-10-09,4
2018-10-15,4
2019-07-25,4
2019-07-31,4
2019-09-02,4
2019-10-09,4
2019-10-28,4
2019-12-06,4
2020-01-03,4
2020-04-06,4
2020-06-11,4
2020-06-13,4
2020-07-04,4
2020-07-09,4
2020-07-27,4
2020-07-28,4
2020-08-21,4
2020-08-27,4
2020-09-20,4
2020-09-27,4
2020-10-22,4
2020-12-14,4
2021-01-04,4
2021-03-13,4
2021-03-20,4
2021-03-21,4
2021-04-25,4
2021-05-11,4
2021-05-21,4
2021-07-09,4
2021-07-14,4
2021-07-16,4
2021-08-24,4
2021-09-05,4
2021-09-13,4
2021-10-23,4
2021-10-30,4
2021-12-04,4
2021-12-23,4
2022-01-05,4
2022-03-15,4
2022-04-03,4
2022-04-28,4
2022-05-13,4
2022-05-25,4
2022-06-11,4
2022-06-12,4
2022-06-30,4
2022-07-07,4
2022-08-14,4
2022-10-27,4
2022-10-29,4
2022-11-12,4
2019-07-23,3
2019-08-28,3
2019-08-30,3
2019-10-12,3
2019-10-30,3
2019-10-31,3
2019-11-01,3
2019-11-15,3
2019-11-26,3
2019-12-01,3
2019-12-04,3
2019-12-11,3
2019-12-12,3
2020-01-24,3
2020-01-26,3
2020-02-16,3
2020-03-04,3
2020-04-20,3
2020-04-23,3
2020-06-02,3
2020-06-15,3
2020-06-18,3
2020-07-06,3
2020-07-08,3
2020-07-13,3
2020-07-14,3
2020-08-02,3
2020-08-28,3
2020-09-05,3
2020-09-09,3
2020-10-03,3
2020-10-05,3
2020-10-14,3
2020-12-13,3
2020-12-16,3
2020-12-20,3
2021-01-16,3
2021-02-06,3
2021-03-11,3
2021-04-08,3
2021-04-23,3
2021-05-12,3
2021-05-25,3
2021-06-01,3
2021-06-17,3
2021-06-19,3
2021-07-01,3
2021-09-08,3
2021-09-25,3
2021-12-28,3
2022-01-16,3
2022-01-23,3
2022-01-30,3
2022-02-21,3
2022-04-11,3
2022-04-17,3
2022-04-19,3
2022-04-21,3
2022-04-23,3
2022-04-27,3
2022-05-07,3
2022-05-16,3
2022-05-18,3
2022-05-22,3
2022-06-01,3
2022-06-09,3
2022-06-14,3
2022-07-01,3
2022-07-04,3
2022-07-13,3
2022-07-22,3
2022-07-25,3
2022-08-02,3
2022-08-04,3
2022-08-15,3
2022-09-02,3
2022-09-17,3
2022-09-30,3
2022-10-24,3
2022-10-30,3
2018-10-08,2
2019-07-04,2
2019-08-04,2
2019-08-06,2
2019-08-19,2
2019-09-27,2
2019-10-15,2
2019-10-25,2
2019-10-29,2
2019-11-18,2
2019-11-21,2
2019-11-23,2
2019-12-05,2
2020-01-23,2
2020-01-29,2
2020-02-01,2
2020-03-21,2
2020-04-04,2
2020-04-08,2
2020-05-13,2
2020-05-14,2
2020-05-16,2
2020-06-07,2
2020-06-09,2
2020-06-28,2
2020-06-30,2
2020-07-03,2
2020-07-10,2
2020-07-26,2
2020-08-25,2
2020-09-08,2
2020-09-21,2
2020-10-10,2
2020-10-12,2
2020-10-15,2
2020-10-31,2
2020-11-01,2
2020-11-09,2
2020-11-18,2
2020-11-21,2
2020-12-05,2
2020-12-09,2
2020-12-23,2
2021-01-03,2
2021-01-06,2
2021-01-15,2
2021-01-18,2
2021-01-26,2
2021-02-18,2
2021-03-08,2
2021-03-16,2
2021-03-31,2
2021-04-10,2
2021-04-12,2
2021-05-17,2
2021-05-28,2
2021-06-03,2
2021-06-25,2
2021-06-27,2
2021-07-05,2
