heicfile,status
d:\heic\2020-06-08 092837.heic,heicfile does not exist
d:\heic\2020-06-08 092830.heic,heicfile does not exist
d:\heic\2020-06-08 092806.heic,heicfile does not exist
d:\heic\2020-06-08 092801.heic,heicfile does not exist
d:\heic\2020-06-08 092740.heic,heicfile does not exist
d:\heic\2020-06-08 092738.heic,heicfile does not exist
d:\heic\2020-06-08 092709.heic,heicfile does not exist
d:\heic\2020-06-08 075818.heic,heicfile does not exist
d:\heic\2020-06-08 075817.heic,heicfile does not exist
