fullPath,basename,status
D:\livp\2022-05-04 181619.livp,2022-05-04 181619.livp,"The ""path"" argument must be of type string. Received undefined"
D:\livp\2022-05-04 181620.livp,2022-05-04 181620.livp,"The ""path"" argument must be of type string. Received undefined"
D:\livp\2022-05-04 181626.livp,2022-05-04 181626.livp,"The ""path"" argument must be of type string. Received undefined"
D:\livp\2022-05-04 181632.livp,2022-05-04 181632.livp,"The ""path"" argument must be of type string. Received undefined"
D:\livp\2022-05-04 210405.livp,2022-05-04 210405.livp,"The ""path"" argument must be of type string. Received undefined"
